賣地/招標,賣地方式,地點, 用途, 面积/平方米,地价/百万元
2014年2月12日,招標,屯門市地段第509號 新界屯門第 2 區良德,住宅(甲類),"2,440",430
2014年2月25日,招標,新九龍內地段第6525 九龍啟德第1I區1號地,住宅(甲類),"8,780","2,911"
2014年2月25日,招標,新九龍內地段第6526 九龍啟德第1I區2號地,住宅(甲類),"9,313","2,938.80"
2014年2月25日,招標,新九龍內地段第6527 九龍啟德第1I區3號地,住宅(甲類),"10,149","3,923.42"
2014年3月12日,招標,丈量約份第243約地段 新界西貢碧沙路與清,住宅(丙類),"1,242.70",160
2014年3月25日,招標,沙田市地段第581號 新界沙田馬鞍山白石,住宅(丙類),"37,700","1,826"
2014年3月25日,招標,坪洲丈量約份地段第 新界坪洲教育路,住宅(丙類),"1,742",21
2012 年 4 月 12 日,招標,新界葵涌青山公,加油站,"2,091",69.87
2012 年 5 月 2 日,招標,香港淺水灣道近,住宅(丙類),"4,340","1,668"
2012 年 5 月 2 日,招標,新界屯門小欖冠,住宅(丁類),"9,020",180
2012 年 5 月 24 日,招標,新 界 將 軍 澳 第,住宅(乙類),"4,352","1,033"
2012 年 5 月 24 日,招標,新界沙田九肚第,住宅(丙類),"4,680",531.5
2012 年 5 月 30 日,招標,香港深水灣徑,住宅(丙類),"10,249","6,000"
2012 年 5 月 30 日,招標,新界坪洲東灣,住宅(丙類),"1,142.50",15.01
2012 年 7 月 11 日,招標,香港北角渣華道,住宅及商業,"23,400","6,910"
2012 年 8 月 1 日,招標,新 界 將 軍 澳 第,住宅(乙類),"5,026","1,168.93"
2012 年 8 月 9 日,招標,新界青衣青衣西,加油站,"2,124",259.109
2012 年 8 月 30 日,招標,新界沙田九肚第,住宅(丙類),"19,700","3,038"
2012 年 8 月 30 日,招標,新界坪洲坪利路,住宅及商業,"5,200",80.8
2012 年 9 月 28 日,招標,新 界 將 軍 澳 第,住宅(丙類),"12,915","2,285"
2012 年 9 月 28 日,招標,新界坪洲東灣,住宅(丙類),"1,780.30",31
2012 年 11 月 7 日,招標,新 界 將 軍 澳 第,住宅(丙類),"14,954","2,545"
2012 年 11 月 7 日,招標,新界沙田馬鞍山,住宅(乙類),"14,400","2,901"
2012 年 11 月 28 日,招標,新 界 將 軍 澳 第,住宅(丙類),"21,306","2,826"
2012 年 11 月 28 日,招標,九龍九龍灣常悅,商貿,"2,579","1,818.30"
2012 年 12 月 13 日,招標,新 界 將 軍 澳 第,住宅(丙類),"15,969","1,968"
2012 年 12 月 13 日,招標,九龍官涌街,住宅(甲類),271.3,193.746288
2013 年 1 月 9 日,招標,新界沙田九肚第,住宅(丙類),"8,590","1,466.89"
2013 年 1 月 9 日,招標,新界西貢沙角尾,住宅(丙類),"15,430","1,455"
2013 年 1 月 30 日,招標,新界屯門掃管笏,住宅(丙類),"26,934","1,388"
2013 年 3 月 13 日,招標,香港南風徑,醫院,"27,500","1,688"
2013 年 3 月 13 日,招標,九龍何文田常樂,住宅(乙類),"24,077","11,687.88"
2013 年 3 月 13 日,招標,新界東涌達東路,商業,"10,026","2,328"
2013 年 3 月 27 日,招標,香港北角北角邨,酒店,"5,369","2,722"
2013 年 3 月 27 日,招標,新界沙田九肚第,住宅(丙類),"8,080","1,420"
2011 年 4 月 27 日,拍賣,九龍紅磡高山道,住宅(甲類),1 901.7,1 525
2011 年 5 月 12 日,拍賣,香港司徒拔道,住宅(丙類),14 700,4 490
2011 年 5 月 12 日,拍賣,九龍又一村海,住宅(丙類),2 810,579
2011 年 5 月 12 日,拍賣,新界元朗牛潭,住宅(丁類),23 480,662
2011 年 6 月 9 日,拍賣,香港波老道,住宅(乙類),10 488,11 650
2011 年 6 月 9 日,拍賣,新界元朗屏山屏,住宅(丙類),6 076,300
